Received	Last location	Reason	Speed (kph)	Mileage (km)	Heading	GPS	Installed	Button	Door	Main power	Light	Temperature	Address	Longitude	Latitude	Altitude (m)	Name
8/20/2017 6:11	8/20/2017 6:11	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	40.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 6:12	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 6:14	8/20/2017 6:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	40.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 6:29	8/20/2017 6:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	39.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 6:31	8/20/2017 6:31	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	39.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	8	591016
8/20/2017 6:32	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 6:44	8/20/2017 6:31	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	38.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	8	591016
8/20/2017 6:52	8/20/2017 6:51	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	38.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	3	591016
8/20/2017 6:52	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 7:00	8/20/2017 6:51	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	38.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	3	591016
8/20/2017 7:12	8/20/2017 7:11	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	37.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	5	591016
8/20/2017 7:12	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 7:15	8/20/2017 7:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	38.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	5	591016
8/20/2017 7:30	8/20/2017 7:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	37.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	5	591016
8/20/2017 7:32	8/20/2017 7:31	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	37.0c	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0915	13	591016
8/20/2017 7:32	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0915	_	591016
8/20/2017 7:45	8/20/2017 7:31	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	37.0c	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0915	13	591016
8/20/2017 7:52	8/20/2017 7:51	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	36.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	27	591016
8/20/2017 7:52	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	_	591016
8/20/2017 8:00	8/20/2017 7:51	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	36.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	27	591016
8/20/2017 8:12	8/20/2017 8:12	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	36.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1368	26.0914	67	591016
8/20/2017 8:12	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1368	26.0914	_	591016
8/20/2017 8:15	8/20/2017 8:12	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	36.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1368	26.0914	67	591016
8/20/2017 8:30	8/20/2017 8:12	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	35.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1368	26.0914	67	591016
8/20/2017 8:32	8/20/2017 8:32	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	36% / 3.78v	_	35.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	8	591016
8/20/2017 8:32	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
